Date,Close/Last,Volume,Open,High,Low
04/26/2021,$94.24,5055925,$92.62,$94.39,$92.51
04/23/2021,$93.02,4034299,$93.7,$94.04,$92.69
04/22/2021,$93.7,5742861,$93.3,$94.4858,$92.98
04/21/2021,$93.18,8000177,$93.48,$93.556,$91.89
04/20/2021,$94.47,4499007,$96.274,$96.33,$94.12
04/19/2021,$96,4797141,$96.925,$97.58,$95.33
04/16/2021,$96.48,7126789,$98.1,$98.1,$96.05
04/15/2021,$97.78,7324167,$97.05,$98.04,$96.4
04/14/2021,$96.69,4066699,$97.1,$97.53,$96.41
04/13/2021,$97.54,5711095,$96.998,$98.25,$96.49
04/12/2021,$96.14,4719864,$95.1,$96.28,$95
04/09/2021,$95.78,4301025,$96.07,$96.31,$94.545
04/08/2021,$96.46,3590200,$97.81,$97.87,$96.15
04/07/2021,$96.84,4469208,$96.46,$97.33,$96.41
04/06/2021,$97.32,8069977,$98.19,$98.19,$97.03
04/05/2021,$97.87,5251773,$96.01,$98.42,$95.52
04/01/2021,$95.54,6085465,$93.94,$95.7,$93.7413
03/31/2021,$93,6522688,$92.85,$94.08,$92.5
03/30/2021,$92.66,6147903,$92.44,$92.875,$90.79
03/29/2021,$94.02,8660805,$92.25,$94.92,$92.03
03/26/2021,$92.4,6161471,$91.24,$92.49,$90.77
03/25/2021,$90.85,5016963,$90.41,$91.13,$89.06
03/24/2021,$90.51,4800510,$91.55,$91.55,$89.67
03/23/2021,$91.38,4426367,$92.59,$92.6,$91.08
03/22/2021,$91.87,4290050,$90.63,$92.53,$90.55
03/19/2021,$90.49,13501010,$89.69,$91.54,$89.69
03/18/2021,$89.58,6692090,$90.74,$91.63,$89.165
03/17/2021,$92.44,4644870,$92.4,$92.93,$90.82
03/16/2021,$93.28,4552788,$93.56,$94.8,$92.925
03/15/2021,$92.575,3146350,$92.866,$93.05,$91.4
03/12/2021,$93.035,3280695,$91.89,$93.13,$91.15
03/11/2021,$92.94,4465146,$92.97,$93.8311,$92.43
03/10/2021,$91.31,4283640,$93.26,$93.7,$91.09
03/09/2021,$92.5,6325573,$91.6,$93.6925,$91.6
03/08/2021,$89.21,6742550,$91.75,$92.83,$89.13
03/05/2021,$92.58,8348705,$92.2,$93.39,$90.32
03/04/2021,$91.54,5777192,$93.08,$94.56,$90.74
03/03/2021,$93.71,5283214,$96.29,$96.53,$92.88
03/02/2021,$96.75,3984976,$98.91,$98.99,$96.59
03/01/2021,$98.72,5135795,$97.09,$98.92,$96.89
02/26/2021,$95.61,6388227,$96,$97.21,$95.16
02/25/2021,$95.1,5414198,$95.32,$96.42,$93.79
02/24/2021,$95.69,5925696,$95.45,$96.06,$94.52
02/23/2021,$96.42,6238398,$95.07,$96.85,$93.55
02/22/2021,$96.58,6152756,$99.82,$99.82,$96.41
02/19/2021,$100.8,4369531,$102.95,$103.08,$100.585
02/18/2021,$102.25,5088824,$101.83,$102.4,$100.94
02/17/2021,$102.35,3742227,$102.58,$103.37,$101.81
02/16/2021,$102.96,3772975,$103.82,$104.53,$102.48
02/12/2021,$103.81,3023802,$102.78,$103.89,$102.14
02/11/2021,$103.24,3306464,$103.5,$104.215,$102.55
02/10/2021,$102.76,4744821,$103.04,$103.44,$101.245
02/09/2021,$102.73,5299115,$101.95,$103.77,$101.06
02/08/2021,$101.19,5969783,$102.05,$103.08,$100.39
02/05/2021,$101.61,17047810,$100.66,$104.2299,$100
02/04/2021,$92.68,8296533,$93.35,$94.42,$92.41
02/03/2021,$92.77,6666753,$93.89,$94.07,$92.59
02/02/2021,$93.98,5782602,$92.04,$94.18,$91.81
02/01/2021,$91.42,4271063,$91.48,$92.16,$90.86
